new_id,commonNameZh,localNameZh,scientificName,fishType,bodyShape,rarityRank,imageUrl,icon_abs,photo_url,photo_source,matched_title_or_taxon,source_page,confidence,photo_status,photo_abs
003,三角魚,三角魚,,其他魚類,標準紡錘型,2,assets/fish/icons/generated/003.png,C:\Users\s0829\fishergo\assets\fish\icons\generated\003.png,,,,,not_found,missing,
004,三鬚魚,三鬚,,其他魚類,標準紡錘型,2,assets/fish/icons/generated/004.png,C:\Users\s0829\fishergo\assets\fish\icons\generated\004.png,,,,,not_found,missing,
011,寶石隆頭魚,寶石青衣,,其他魚類,標準紡錘型,2,assets/fish/icons/generated/011.png,C:\Users\s0829\fishergo\assets\fish\icons\generated\011.png,,,,,not_found,missing,
034,羊魚（鬚）,鬚羊魚,,其他魚類,標準紡錘型,2,assets/fish/icons/generated/034.png,C:\Users\s0829\fishergo\assets\fish\icons\generated\034.png,,,,,not_found,missing,
035,花生魚,花生魚,,其他魚類,標準紡錘型,2,assets/fish/icons/generated/035.png,C:\Users\s0829\fishergo\assets\fish\icons\generated\035.png,,,,,not_found,missing,
037,蛋斑隆頭魚,青衣,,其他魚類,標準紡錘型,2,assets/fish/icons/generated/037.png,C:\Users\s0829\fishergo\assets\fish\icons\generated\037.png,,,,,not_found,missing,
038,角聲魚,角聲,,其他魚類,標準紡錘型,2,assets/fish/icons/generated/038.png,C:\Users\s0829\fishergo\assets\fish\icons\generated\038.png,,,,,not_found,missing,
040,連米銀腹魚,連米魚,,其他魚類,標準紡錘型,2,assets/fish/icons/generated/040.png,C:\Users\s0829\fishergo\assets\fish\icons\generated\040.png,,,,,not_found,missing,
041,里夫黃姑魚,花黃姑,,其他魚類,標準紡錘型,2,assets/fish/icons/generated/041.png,C:\Users\s0829\fishergo\assets\fish\icons\generated\041.png,,,,,not_found,missing,
046,銀鱚,沙鑽,Sillago argentifasciata,其他魚類,標準紡錘型,2,assets/fish/icons/generated/046.png,C:\Users\s0829\fishergo\assets\fish\icons\generated\046.png,,,,,not_found,missing,
047,青鱗小沙丁,青鱗沙甸,,其他魚類,標準紡錘型,2,assets/fish/icons/generated/047.png,C:\Users\s0829\fishergo\assets\fish\icons\generated\047.png,,,,,not_found,missing,
053,黃甲魚,黃甲,,其他魚類,標準紡錘型,2,assets/fish/icons/generated/053.png,C:\Users\s0829\fishergo\assets\fish\icons\generated\053.png,,,,,not_found,missing,
055,黑邊銀鯽,黑邊銀鯽,,其他魚類,標準紡錘型,2,assets/fish/icons/generated/055.png,C:\Users\s0829\fishergo\assets\fish\icons\generated\055.png,,,,,not_found,missing,
057,鼠尾隆頭魚,老鼠斑衣,,其他魚類,標準紡錘型,2,assets/fish/icons/generated/057.png,C:\Users\s0829\fishergo\assets\fish\icons\generated\057.png,,,,,not_found,missing,
058,龍舟魚,龍舟,,其他魚類,標準紡錘型,2,assets/fish/icons/generated/058.png,C:\Users\s0829\fishergo\assets\fish\icons\generated\058.png,,,,,not_found,missing,
060,針魚,針魚,Petalichthys capensis,其他魚類,細長型,2,assets/fish/icons/generated/060.png,C:\Users\s0829\fishergo\assets\fish\icons\generated\060.png,,,,,not_found,missing,
061,青針魚,青針,,其他魚類,細長型,2,assets/fish/icons/generated/061.png,C:\Users\s0829\fishergo\assets\fish\icons\generated\061.png,,,,,not_found,missing,
062,比目魚,左口魚,Asterorhombus cocosensis,底棲近岸類,扁平型,2,assets/fish/icons/generated/062.png,C:\Users\s0829\fishergo\assets\fish\icons\generated\062.png,,,,,not_found,missing,
068,花狗母魚,花狗母,,底棲近岸類,標準紡錘型,2,assets/fish/icons/generated/068.png,C:\Users\s0829\fishergo\assets\fish\icons\generated\068.png,,,,,not_found,missing,
089,三點雀鯛,三點姑娘魚,,鯛科/笛鯛類,標準紡錘型,2,assets/fish/icons/generated/089.png,C:\Users\s0829\fishergo\assets\fish\icons\generated\089.png,,,,,not_found,missing,
104,金線鯛王,大紅衫,,鯛科/笛鯛類,標準紡錘型,2,assets/fish/icons/generated/104.png,C:\Users\s0829\fishergo\assets\fish\icons\generated\104.png,,,,,not_found,missing,
105,鋸緣雀鯛,鋸緣姑娘魚,,鯛科/笛鯛類,標準紡錘型,2,assets/fish/icons/generated/105.png,C:\Users\s0829\fishergo\assets\fish\icons\generated\105.png,,,,,not_found,missing,
107,馬友鯛,馬友鱲,,鯛科/笛鯛類,標準紡錘型,2,assets/fish/icons/generated/107.png,C:\Users\s0829\fishergo\assets\fish\icons\generated\107.png,,,,,not_found,missing,
114,大眼竹筴魚,大眼竹筴,,鰺科/洄游類,標準紡錘型,2,assets/fish/icons/generated/114.png,C:\Users\s0829\fishergo\assets\fish\icons\generated\114.png,,,,,not_found,missing,
